Date,Line,Station,Reason,Service Suspended,Notes,Length,
5/10/2024,Green,Harold Washington Library-State/Van Buren,Unauthorized Person,,,,
5/10/2024,Orange,Harold Washington Library-State/Van Buren,Unauthorized Person,,,,
5/10/2024,Pink,Harold Washington Library-State/Van Buren,Unauthorized Person,,,,
5/10/2024,Purple,Harold Washington Library-State/Van Buren,Unauthorized Person,,,,
5/10/2024,Orange,Midway,Available Staff,,,,
5/10/2024,Pink,54th/Cermak,Available Staff,,,,
5/11/2024,Blue,California-Blue,Track Conditions,,Debris,,
5/11/2024,Red,47th,Police Activity,,,,
5/11/2024,Blue,Clark/Lake,Police Activity,,,,
5/12/2024,Brown,Merchandise Mart,Other,,Raised Bridge,,
5/12/2024,Red,Monroe,Police Activity,,,,
5/12/2024,Blue,O'Hare,Available Staff,,,,
5/12/2024,Blue,Kedzie-Homan,Police Activity,,,,
5/12/2024,Blue,Pulaski-Blue,Sick Customer,,,,
5/12/2024,Blue,O'Hare,Available Staff,,,,
5/12/2024,Orange,Midway,Available Staff,,,,
5/12/2024,Pink,54th/Cermak,Available Staff,,,,
5/12/2024,Pink,Cicero-Pink,Police Activity,,,,
5/12/2024,Pink,54th/Cermak,Not Specified,,,,
5/13/2024,Orange,Western-Orange,Other,,Animal,,
5/13/2024,Red,Monroe,Sick Customer,,,,
5/13/2024,Red,Cermak-Chinatown,Police Activity,,,,
5/13/2024,Blue,Forest Park,Door Problem,,,,
5/13/2024,Pink,54th/Cermak,Available Staff,,,,
5/13/2024,Brown,Sedgwick,Mechanical,,,,
5/14/2024,Brown,Clark/Lake,Unauthorized Person,,Assigned to Halsted?,,
5/14/2024,Red,Clark/Division,Police Activity,,,,
5/14/2024,Green,Clark/Lake,Unauthorized Person,,,,
5/14/2024,Orange,Clark/Lake,Unauthorized Person,,,,
5/14/2024,Pink,Clark/Lake,Unauthorized Person,,,,
5/14/2024,Purple,Clark/Lake,Unauthorized Person,,,,
5/15/2024,Green,Clinton,Other,,Raised Bridge,,
5/15/2024,Pink,Clinton,Other,,Raised Bridge,,
5/15/2024,Brown,Merchandise Mart,Other,,Raised Bridge,,
5/15/2024,Red,79th,Police Activity,,,,
5/15/2024,Red,Belmont-Red/Brown/Purple,Sick Customer,,,,
5/15/2024,Purple,Belmont-Red/Brown/Purple,Sick Customer,,,,
5/15/2024,Brown,Belmont-Red/Brown/Purple,Sick Customer,,,,
5/15/2024,Orange,Adams/Wabash,Signal,,,,
5/15/2024,Green,Adams/Wabash,Signal,,,,
5/16/2024,Red,Clark/Division,Unauthorized Person,,Person Struck,,
5/16/2024,Red,Fullerton,Mechanical,,,,
5/16/2024,Blue,O'Hare,Available Staff,,,,
5/16/2024,Blue,Montrose-Blue,Sick Customer,,,,
5/16/2024,Brown,Francisco,Mechanical,,,,
5/17/2024,Red,87th,Police Activity,,,,
5/17/2024,Blue,Kedzie-Homan,Mechanical,,,,
5/17/2024,Orange,Kedzie-Orange,Police Activity,,,,
5/17/2024,Orange,Ashland-Orange,Police Activity,,,,
5/18/2024,Green,35th-Bronzeville-IIT,Unauthorized Person,,,,
5/18/2024,Orange,Midway,Available Staff,,,,
5/18/2024,Brown,Sedgwick,Police Activity,,,,
5/18/2024,Yellow,Howard,Signal,Yes,,,
5/19/2024,Red,Cermak-Chinatown,Mechanical,,,,
5/19/2024,Red,Roosevelt,Mechanical,,,,
5/19/2024,Red,Garfield-Red,Police Activity,,,,
5/20/2024,Blue,Oak Park-Blue,Mechanical,,,,
5/20/2024,Blue,Harlem-FP,Signal,,,,
5/20/2024,Brown,Clark/Lake,Signal,,,,
5/20/2024,Green,Clark/Lake,Signal,,,,
5/20/2024,Orange,Clark/Lake,Signal,,,,
5/20/2024,Pink,Clark/Lake,Signal,,,,
5/20/2024,Purple,Clark/Lake,Signal,,,,
5/20/2024,Pink,54th/Cermak,Available Staff,,,,
5/21/2024,Red,Cermak-Chinatown,Police Activity,,Station Unclear,,
5/21/2024,Red,47th,Police Activity,,,,
5/21/2024,Green,Cermak-McCormick,Sick Customer,,,,
5/22/2024,Yellow,Howard,Other,Yes,Debris,,
5/22/2024,Green,Clinton,Other,,Raised Bridge,,
5/22/2024,Pink,Clinton,Other,,Raised Bridge,,
5/22/2024,Brown,Merchandise Mart,Other,,Raised Bridge,,
5/22/2024,Red,Roosevelt,Police Activity,,,,
5/22/2024,Red,Wilson,Signal,,,,
5/22/2024,Purple,Wilson,Signal,,,,
5/22/2024,Green,Harlem-Green,Signal,,,,
5/22/2024,Pink,Cicero-Pink,Unauthorized Person,Yes,,,
5/23/2024,Blue,Western-OH,Not Specified,,,,
5/23/2024,Blue,Forest Park,Mechanical,,,,
5/23/2024,Green,Roosevelt,Unauthorized Person,,,,
5/23/2024,Green,Ashland/Lake,Police Activity,,,,
5/23/2024,Pink,Ashland/Lake,Police Activity,,,,
5/24/2024,Blue,Chicago/Milkwaulkee,Door Problem,,,,
5/24/2024,Brown,Kimball,Police Activity,,,,
5/25/2024,Red,Cermak-Chinatown,Police Activity,,,,
5/25/2024,Red,Clark/Division,Sick Customer,,,,
5/25/2024,Red,63rd,Police Activity,,,,
5/25/2024,Blue,Jackson-Blue,Unauthorized Person,,,,
5/25/2024,Blue,Oak Park-Blue,Sick Customer,,,,
5/26/2024,Red,Bryn Mawr,Police Activity,,,,
5/26/2024,Green,Ashland/Lake,Signal,,,,
5/26/2024,Pink,Ashland/Lake,Signal,,,,
5/26/2024,Green,Roosevelt,Door Problem,,,,
5/26/2024,Orange,Roosevelt,Door Problem,,,,
5/26/2024,Pink,Cicero-Pink,Unauthorized Person,,,,
5/27/2024,Red,Wilson,Police Activity,,,,
5/27/2024,Blue,O'Hare,Available Staff,,,,
5/27/2024,Blue,Jefferson Park,Sick Customer,,,,
5/27/2024,Purple,Linden,Signal,Yes,,,
5/29/2024,Green,Clinton,Other,,Raised Bridge,,
5/29/2024,Pink,Clinton,Other,,Raised Bridge,,
5/29/2024,Brown,Merchandise Mart,Other,,Raised Bridge,,
5/29/2024,Red,79th,Police Activity,,,,
5/29/2024,Red,69th,Police Activity,,,,
5/29/2024,Blue,Cicero-Blue,Track Fire,,,,
5/29/2024,Green,Ashland/Lake,Police Activity,,,,
5/29/2024,Pink,Ashland/Lake,Police Activity,,,,
5/29/2024,Orange,35th/Archer,Unauthorized Person,,,,
5/29/2024,Pink,54th/Cermak,Signal,,,,
5/29/2024,Purple,Linden,Mechanical,,,,
5/30/2024,Blue,Logan Square,Mechanical,,,,
5/30/2024,Green,Clinton,Sick Customer,,,,
5/30/2024,Pink,Clinton,Sick Customer,,,,
5/31/2024,Red,Belmont,Track Fire,,,,
5/31/2024,Red,Addison-Red,Unauthorized Person,,,,
5/31/2024,Red,Sheridan,Police Activity,,,,
5/31/2024,Red,Wilson,Police Activity,,,,
5/31/2024,Purple,Wilson,Police Activity,,,,
5/31/2024,Red,79th,Police Activity,,,,
5/31/2024,Red,Cermak-Chinatown,Police Activity,,,,
5/31/2024,Green,47th-Green,Police Activity,,,,
5/31/2024,Green,Garfield-Green,Police Activity,,,,
5/31/2024,Brown,State/Lake,Police Activity,,,,
5/31/2024,Green,State/Lake,Police Activity,,,,
6/1/2024,Blue,O'Hare,Available Staff,,Default value assigned,30,
6/1/2024,Blue,Cicero-Blue,Mechanical,,,10,
6/1/2024,Pink,Adams/Wabash,Track Conditions,,Default Value Assgined,10,
6/1/2024,Blue,Kedzie-Homan,Door Problem,,,8,
6/1/2024,Pink,Adams/Wabash,Other,Not Specified,Default Value Assgined,5,
6/2/2024,Brown,Irving Park-Brown,Unauthorized Person,,,178,
6/2/2024,Blue,Harlem,Police Activity,,Default value assigned,10,
6/2/2024,Blue,Irving Park-Blue,Police Activity,,Default value assigned,10,
6/2/2024,Green,Clark/Lake,Signal,,Default value assigned,10,
6/2/2024,Brown,Clark/Lake,Signal,,Default value assigned,10,
6/2/2024,Purple,Linden,Mechanical,,Default Value Assigned,10,
6/2/2024,Pink,54th/Cermak,Mechanical,,,8,
6/2/2024,Red,North/Clyborn,Sick Customer,,,6,
6/2/2024,Brown,Irving Park-Brown,Unauthorized Person,,,2,
6/3/2024,Brown,Rockwell,Police Activity,,,16,
6/3/2024,Red,63rd,Police Activity,,,12,
6/3/2024,Blue,Rosemont,Mechanical,,Default value assigned,10,
6/3/2024,Brown,Southport,Not Specified,,Default Value Assgined,10,
6/3/2024,Blue,O'Hare,Police Activity,,,7,
6/3/2024,Red,Roosevelt,Sick Customer,,,6,
6/4/2024,Orange,Midway,Door Problem,,,26,
6/4/2024,Red,Sox-35th,Police Activity,,,7,
6/4/2024,Red,Chicago/State,Door Problem,,,6,
6/4/2024,Green,California-Green,Police Activity,,,6,
6/4/2024,Red,Roosevelt,Signal,,,5,
6/4/2024,Blue,O'Hare,Mechanical,,,4,
6/5/2024,Brown,Sedgwick,Unauthorized Person,Yes,Medical Emergency,197,
6/5/2024,Purple,Sedgwick,Unauthorized Person,Yes,Medical Emergency,197,
6/5/2024,Red,Sox-35th,Unauthorized Person,,Medical Emergency,106,
6/5/2024,Red,79th,Police Activity,,Default value assigned,10,
6/5/2024,Blue,Addison-Blue,Mechanical,,Default value assigned,10,
6/5/2024,Pink,Western,Track Conditions,,Default Value Assgined,10,
6/6/2024,Red,95th,Mechanical,,,22,
6/6/2024,Pink,Polk,Track Conditions,,Default value assigned; service cut from polk to loop,20,
6/6/2024,Green,Cicero-Green,Police Activity,,,16,
6/6/2024,Brown,Western-Brown,Police Activity,Yes,,14,
6/6/2024,Pink,Adams/Wabash,Sick Customer,,,6,
6/6/2024,Green,Adams/Wabash,Sick Customer,,,6,
6/6/2024,Blue,UIC-Halsted,Door Problem,,,4,
6/8/2024,Pink,Clinton,Other,,Raised Bridge,49,
6/8/2024,Green,Clinton,Other,,Raised Bridge,49,
6/8/2024,Red,Roosevelt,Signal,,Default value assigned,10,
6/8/2024,Orange,Midway,Mechanical,,,5,
6/8/2024,Red,Harrison,Sick Customer,,,3,
6/9/2024,Red,87th,Police Activity,,,100,
6/9/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/9/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/9/2024,Red,Jackson,Police Activity,,,10,
6/9/2024,Red,Jackson,Police Activity,,,8,
6/9/2024,Blue,Pulaski-Blue,Mechanical,,,8,
6/9/2024,Blue,Rosemont,Mechanical,,,2,
6/10/2024,Green,Morgan,Track Conditions,Yes,,25,
6/10/2024,Blue,UIC-Halsted,Sick Customer,,,6,
6/10/2024,Red,Addison-Red,Sick Customer,,,2,
6/11/2024,Blue,Harlem-FP,Door Problem,,,13,
6/11/2024,Red,47th-Red,Sick Customer,,,5,
6/11/2024,Orange,Midway,Track Switching,,,5,
6/12/2024,Orange,Ashland-Orange,Track Conditions,,Default Value Assgined,30,
6/12/2024,Blue,Oak Park-Blue,Police Activity,,,3,
6/13/2024,Brown,Chicago/Franklin,Track Conditions,,,37,
6/13/2024,Purple,Chicago/Franklin,Track Conditions,,,37,
6/13/2024,Brown,Southport,Signal,,,33,
6/13/2024,Brown,Francisco,Track Conditions,,,18,
6/13/2024,Red,47th-Red,Mechanical,,,13,
6/13/2024,Red,Loyola,Unauthorized Person,,Default value assigned,10,
6/13/2024,Red,Roosevelt,Police Activity,,Default value assigned,10,
6/13/2024,Red,Clark/Division,Police Activity,,Default value assigned,10,
6/14/2024,Blue,Logan Square,Door Problem,,Default value assigned; service cut from polk to loop,10,
6/14/2024,Green,Ashland/Lake,Police Activity,,,10,
6/14/2024,Orange,Midway,Mechanical,,Default Value Assgined,10,
6/14/2024,Orange,Pulaski-Orange,Mechanical,,Default Value Assgined,10,
6/14/2024,Blue,Racine,Police Activity,,,7,
6/15/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/15/2024,Pink,54th/Cermak,Track Conditions,,Default Value Assgined,30,
6/15/2024,Red,Cermak-Chinatown,Police Activity,,,23,
6/15/2024,Blue,Racine,Mechanical,,Default value assigned; service cut from polk to loop,10,
6/15/2024,Brown,Kimball,Not Specified,,Default Value Assgined,10,
6/15/2024,Red,Addison-Red,Unauthorized Person,,,9,
6/15/2024,Green,Cottage Grove,Police Activity,,,7,
6/16/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/16/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/16/2024,Blue,O'Hare,Available Staff,,Default value assigned; service cut from polk to loop,30,
6/16/2024,Pink,54th/Cermak,Track Conditions,,Default Value Assgined,30,
6/16/2024,Red,79th,Police Activity,,,11,
6/17/2024,Orange,Roosevelt,Track Conditions,,Tower 17,259,
6/17/2024,Green,Roosevelt,Track Conditions,,Tower 17,259,
6/17/2024,Red,47th-Red,Police Activity,,,17,
6/17/2024,Red,Garfield-Red,Police Activity,,,13,
6/17/2024,Pink,Morgan,Police Activity,,,9,
6/17/2024,Green,Morgan,Police Activity,,,9,
6/17/2024,Red,Roosevelt,Unauthorized Person,,,6,
6/18/2024,Blue,Rosemont,Track Conditions,,,40,
6/18/2024,Purple,Linden,Available Staff,,Default Value Assigned,30,
6/18/2024,Green,Ashland/63rd,Available Staff,,,25,
6/18/2024,Pink,54th/Cermak,Sick Customer,,Default Value Assgined,10,
6/18/2024,Red,Addison-Red,Sick Customer,,,9,
6/19/2024,Blue,Illinois Medical District,Signal,,,16,
6/19/2024,Red,Howard,Signal,,Default value assigned,10,
6/19/2024,Blue,Montrose-Blue,Door Problem,,,8,
6/19/2024,Red,North/Clyborn,Track Conditions,,Track Fire,7,
6/20/2024,Green,Cottage Grove,Track Conditions,,,112,
6/20/2024,Blue,Jefferson Park,Unauthorized Person,,,30,
6/20/2024,Green,Cottage Grove,Signal,,,15,
6/20/2024,Blue,Harlem-OH,Mechanical,,,14,
6/20/2024,Red,95th,Not Specified,,Default value assigned,10,
6/20/2024,Red,Roosevelt,Police Activity,,,8,
6/21/2024,Brown,Adams/Wabash,Track Conditions,,,105,
6/21/2024,Green,Adams/Wabash,Track Conditions,,,105,
6/21/2024,Pink,Adams/Wabash,Track Conditions,,,105,
6/21/2024,Purple,Adams/Wabash,Track Conditions,,,105,
6/21/2024,Orange,Adams/Wabash,Track Conditions,,,105,
6/21/2024,Brown,Kimball,Available Staff,,Default Value Assgined,30,
6/21/2024,Blue,Rosemont,Unauthorized Person,,,12,
6/21/2024,Red,Loyola,Unauthorized Person,,Default value assigned,10,
6/21/2024,Purple,Loyola,Unauthorized Person,,Default value assigned,10,
6/21/2024,Green,Central,Unauthorized Person,,Default value assigned,10,
6/21/2024,Orange,35th/Archer,Unauthorized Person,,,5,
6/22/2024,Green,Harlem/Lake,Unauthorized Person,,,22,
6/22/2024,Pink,Damen,Police Activity,,,13,
6/22/2024,Blue,Austin-Blue,Unauthorized Person,,,8,
6/23/2024,Blue,California-Blue,Door Problem,,,82,
6/23/2024,Green,Cottage Grove,Police Activity,,,40,
6/24/2024,Pink,54th/Cermak,Available Staff,,Default Value Assgined,30,
6/24/2024,Red,Grand/State,Unauthorized Person,,Default value assigned,10,
6/24/2024,Green,Clark/Lake,Other,,Signal; default value assigned,10,
6/24/2024,Brown,Clark/Lake,Other,,Signal; default value assigned,10,
6/24/2024,Pink,Clark/Lake,Other,,Signal; default value assigned,10,
6/24/2024,Orange,Clark/Lake,Other,,Signal; default value assigned,10,
6/24/2024,Purple,Clark/Lake,Other,,Signal; default value assigned,10,
6/24/2024,Purple,Washington/Wells,Signal,,Default Value Assigned,10,
6/24/2024,Red,Wilson,Sick Customer,,,9,
6/24/2024,Red,Loyola,Sick Customer,,,7,
6/25/2024,Blue,Pulaski,Mechanical,,,77,
6/25/2024,Red,Addison-Red,Track Conditions,,,42,
6/25/2024,Purple,Addison-Red,Track Conditions,,,42,
6/25/2024,Brown,Western-Brown,Mechanical,,,23,
6/25/2024,Blue,Clark/Lake,Unauthorized Person,,,20,
6/25/2024,Red,63rd,Police Activity,,,15,
6/25/2024,Blue,Chicago/Milkwaulkee,Mechanical,,,8,
6/25/2024,Blue,Division/Milwaulkee,Mechanical,,,8,
6/25/2024,Red,Jackson,Mechanical,,,6,
6/25/2024,Red,63rd,Police Activity,,,4,
6/26/2024,Brown,Clark/Lake,Signal,,,11,
6/26/2024,Green,Clark/Lake,Signal,,,11,
6/26/2024,Orange,Clark/Lake,Signal,,,11,
6/26/2024,Pink,Clark/Lake,Signal,,,11,
6/26/2024,Brown,Wellington,Door Problem,,Default Value Assgined,10,
6/27/2024,Blue,Washington,Police Activity,,,10,
6/27/2024,Red,Fullerton,Police Activity,,,9,
6/27/2024,Brown,Belmont,Mechanical,,,6,
6/27/2024,Blue,Division,Sick Customer,,,5,
6/28/2024,Orange,Halsted,Police Activity,,,19,
6/28/2024,Blue,Racine,Other,,Heavy Congestion; Default value assigned,10,
6/28/2024,Green,California-Green,Sick Customer,,Defaul value assigned,10,
6/28/2024,Blue,Irving Park-Blue,Police Activity,,,9,
6/28/2024,Red,63rd,Police Activity,,,6,
6/29/2024,Red,Fullerton,Not Specified,,Default value assigned,10,
6/29/2024,Brown,Fullerton,Not Specified,,Default value assigned,10,
6/29/2024,Red,95th,Unauthorized Person,,Default value assigned,10,
6/29/2024,Brown,Mechandise Mart,Other,,Raised Bridge; Default Value Assigned,10,
6/29/2024,Pink,Clinton,Other,,Raised Bridge,7,
6/29/2024,Green,Clinton,Other,,Raised Bridge,7,
6/29/2024,Blue,Clinton,Mechanical,,,5,
6/30/2024,Red,Grand/State,Unauthorized Person,,,15,
6/30/2024,Red,Sox-35th,Not Specified,,Default value assigned,10,
6/30/2024,Red,47th,Police Activity,,,4,
